Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Dibutylbis(pentane-2,4-dionato-O,O')tin"	"245-152-0"	"22673-19-4"	"1656"	"Dibutylbis(pentane-2,4-dionato-O,O&#39;)tin"	"245-152-0"	"22673-19-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Dibutyl phthalate"	"201-557-4"	"84-74-2"	"675"	"Dibutyl phthalate"	"201-557-4"	"84-74-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dibromosalicylanilides"	"-"	"-"	"351"	"Dibromosalicylanilides"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Diboron trioxide"	"215-125-8"	"1303-86-2"	"1394"	"Diboron trioxide"	"215-125-8"	"1303-86-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dibenzo[def,p]chrysene"	"205-886-4"	"191-30-0"	"1661"	"Dibenzo[def,p]chrysene"	"205-886-4"	"191-30-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"Dibenzo[b,def]chrysene"	"205-878-0"	"189-64-0"	"1649"	"Dibenzo[b,def]chrysene"	"205-878-0"	"189-64-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Dibenz[a,h]anthracene"	"200-181-8"	"53-70-3"	"637"	"Dibenz[a,h]anthracene"	"200-181-8"	"53-70-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diazomethane"	"206-382-7"	"334-88-3"	"699"	"Diazomethane"	"206-382-7"	"334-88-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diammonium nickel hexacyanoferrate"	"-"	"74195-78-1"	"1439"	"Diammonium nickel hexacyanoferrate"	""	"74195-78-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diammonium nickel bis(sulfate)"	"239-793-5"	"15699-18-0"	"1425"	"Diammonium nickel bis(sulfate)"	"239-793-5"	"15699-18-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate"	"422-670-7"	"150202-11-2"	"1487"	"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate"	"422-670-7"	"150202-11-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diaminotoluene, technical product"	"246-910-3"	"25376-45-8"	"1144"	"Diaminotoluene, technical product"	"246-910-3"	"25376-45-8"	""	""	"All cosmetic products"	"0 %"	"For information on the individual ingredient 4-methyl-m-phenylene diamine see reference number 364 in Annex IIFor information on the individual ingredient 2-methyl-m-phenylene diamine see reference number 413 in Annex II"	""	
"Dialuminium tris(2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate)"	"239-138-3"	"15086-94-9"	"1334"	"Dialuminium tris(2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate)"	"239-138-3"	"15086-94-9"	""	""	"Hair dye products"	"0 %"	""	""	
"Dialuminium nickel tetraoxide"	"234-454-8"	"12004-35-2"	"1463"	"Dialuminium nickel tetraoxide"	"234-454-8"	"12004-35-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Di-tert-butyl peroxide"	"203-733-6"	"110-05-4"	"1553"	"Di-tert-butyl peroxide"	"203-733-6"	"110-05-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"di-n-Pentyl phthalate"	"205-017-9"	"131-18-0"	"1151"	"di-n-Pentyl phthalate"	"205-017-9"	"131-18-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Di-allate"	"218-961-1"	"2303-16-4"	"1044"	"Di-allate"	"218-961-1"	"2303-16-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dextromethorphan"	"204-752-2"	"125-71-3"	"226"	"Dextromethorphan"	"204-752-2"	"125-71-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Desmedipham (ISO)"	"237-198-5"	"13684-56-5"	"1694"	"Desmedipham (ISO)"	"237-198-5"	"13684-56-5"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"Derivatives of thiourea"	"-"	"-"	"321"	"Derivatives of thiourea"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for the one listed in Annex III"	""	
"Derivatives of Strophantines"	"-"	"-"	"302"	"Derivatives of Strophantines"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of procainamide"	"-"	"-"	"25"	"Derivatives of procainamide"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of phenmetrazine"	"-"	"-"	"232"	"Derivatives of phenmetrazine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of oxanamide"	"-"	"-"	"165"	"Derivatives of oxanamide"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of hyoscyamine"	"-"	"-"	"210"	"Derivatives of hyoscyamine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of hyoscine"	"-"	"-"	"295"	"Derivatives of hyoscine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of hydrazine"	"-"	"-"	"201"	"Derivatives of hydrazine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of emetine"	"-"	"-"	"163"	"Derivatives of emetine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of colchicoside"	"-"	"-"	"103"	"Derivatives of colchicoside"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of colchicine"	"-"	"-"	"102"	"Derivatives of colchicine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of cinchophen"	"-"	"-"	"8"	"Derivatives of cinchophen"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of bendroflumethiazide"	"-"	"-"	"53"	"Derivatives of bendroflumethiazide"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of atropine"	"-"	"-"	"45"	"Derivatives of atropine"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Derivatives of Aglucones of Strophanthins"	"-"	"-"	"302"	"Derivatives of Aglucones of Strophanthins"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Decamethonium bromide"	"208-772-2"	"541-22-0"	"214"	"Decamethonium bromide"	"208-772-2"	"541-22-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Deanol aceglumate"	"222-085-5"	"3342-61-8"	"3"	"Deanol aceglumate"	"222-085-5"	"3342-61-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Datura stramonium L. and its galenical preparations"	"283-627-4"	"84696-08-2"	"301"	"Datura stramonium L. and its galenical preparations"	"283-627-4"	"84696-08-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Daminozide"	"216-485-9"	"1596-84-5"	"1027"	"Daminozide"	"216-485-9"	"1596-84-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyproconazole (ISO)"	"619-020-1"	"94361-06-5"	"1596"	"Cyproconazole (ISO)"	"619-020-1"	"94361-06-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cymoxanil (ISO)"	"261-043-0"	"57966-95-7"	"1580"	"Cymoxanil (ISO)"	"261-043-0"	"57966-95-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyflumetofen (ISO)"	"642-974-5"	"400882-07-7"	"1651"	"Cyflumetofen (ISO)"	""	"400882-07-7"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Cycloxydim (ISO)"	"405-230-9"	"101205-02-1"	"1571"	"Cycloxydim (ISO)"	"405-230-9"	"101205-02-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclophosphamide"	"200-015-4"	"50-18-0"	"88"	"Cyclophosphamide"	"200-015-4"	"50-18-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclomenol"	"227-002-6"	"5591-47-9"	"113"	"Cyclomenol"	"227-002-6"	"5591-47-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclohexylamine"	"203-629-0"	"108-91-8"	"1503"	"Cyclohexylamine"	"203-629-0"	"108-91-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cycloheximide"	"200-636-0"	"66-81-9"	"729"	"Cycloheximide"	"200-636-0"	"66-81-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclizine"	"201-445-5"	"82-92-8"	"159"	"Cyclizine"	"201-445-5"	"82-92-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione"	"427-230-8"	"5571-36-8"	"1482"	"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione"	"427-230-8"	"5571-36-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclarbamate"	"227-302-7"	"5779-54-4"	"122"	"Cyclarbamate"	"227-302-7"	"5779-54-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cyclamen alcohol"	"225-289-2"	"4756-19-8"	"425"	"Cyclamen alcohol"	"225-289-2"	"4756-19-8"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Cyanamide"	"206-992-3"	"420-04-2"	"1595"	"Cyanamide"	"206-992-3"	"420-04-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Curarine"	"244-880-6"	"22260-42-0"	"109"	"Curarine"	"244-880-6"	"22260-42-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Curare"	"232-511-1"	"8063-06-7"	"109"	"Curare"	"232-511-1"	"8063-06-7"	""	""	"All cosmetic productsAll cosmetic products"	"0 %"	""	""	
"Cumene"	"202-704-5"	"98-82-8"	"1717"	"Cumene"	"202-704-5"	"98-82-8"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Crude and refined coal tars"	"232-361-7"	"8007-45-2"	"420"	"Crude and refined coal tars"	"232-361-7"	"8007-45-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Crotonaldehyde"	"224-030-0"	"4170-30-3"	"1065"	"Crotonaldehyde"	"224-030-0"	"4170-30-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Croton tiglium L. (oil)"	"679-592-3"	"8001-28-3"	"107"	"Croton tiglium L. (oil)"	""	"8001-28-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Creosote oil, low-boiling distillate;Creosote oil, low-boiling distillate, wash oil"	"274-566-4"	"70321-80-1"	"1540"	"Creosote oil, low-boiling distillate"	"274-566-4"	"70321-80-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Creosote oil, low-boiling distillate;Creosote oil, low-boiling distillate, wash oil"	"274-566-4"	"70321-80-1"	"1211"	"Creosote oil, low-boiling distillate, wash oil"	"274-566-4"	"70321-80-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Creosote oil, high-boiling distillate;Creosote oil, high-boiling distillate, wash oil"	"274-565-9"	"70321-79-8"	"1209"	"Creosote oil, high-boiling distillate, wash oil"	"274-565-9"	"70321-79-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Creosote oil, high-boiling distillate;Creosote oil, high-boiling distillate, wash oil"	"274-565-9"	"70321-79-8"	"1540"	"Creosote oil, high-boiling distillate"	"274-565-9"	"70321-79-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Creosote oil, acenaphthene fraction;Creosote oil, acenaphthene fraction, wash oil"	"292-605-3"	"90640-84-9"	"1540"	"Creosote oil, acenaphthene fraction"	"292-605-3"	"90640-84-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Creosote oil, acenaphthene fraction;Creosote oil, acenaphthene fraction, wash oil"	"292-605-3"	"90640-84-9"	"1206"	"Creosote oil, acenaphthene fraction, wash oil"	"292-605-3"	"90640-84-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Creosote oil, acenaphthene fraction, acenaphthene-free"	"292-606-9"	"90640-85-0"	"1540"	"Creosote oil, acenaphthene fraction, acenaphthene-free"	"292-606-9"	"90640-85-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Creosote oil, acenaphthene fraction, acenaphthene-free"	"292-606-9"	"90640-85-0"	"617"	"Creosote oil, acenaphthene fraction, acenaphthene-free"	"292-606-9"	"90640-85-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Creosote oil"	"263-047-8"	"61789-28-4"	"1540"	"Creosote oil"	"263-047-8"	"61789-28-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Creosote oil"	"263-047-8"	"61789-28-4"	"1207"	"Creosote oil"	"263-047-8"	"61789-28-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Creosote"	"232-287-5"	"8001-58-9"	"1208"	"Creosote"	"232-287-5"	"8001-58-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Coumetarol"	"224-455-1"	"4366-18-1"	"225"	"Coumetarol"	"224-455-1"	"4366-18-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Coumatetralyl (ISO)"	"227-424-0"	"5836-29-3"	"1627"	"Coumatetralyl (ISO)"	"227-424-0"	"5836-29-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Costus root oil"	"639-571-1"	"8023-88-9"	"1133"	"Costus root oil"	""	"8023-88-9"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Copper (nano); Colloidal Copper (nano)"	"231-159-6"	"7440-50-8"	"1726"	"Copper (nano); Colloidal Copper (nano)"	"231-159-6"	"7440-50-8"	""	""	"All cosmetic products"	"0 %"	""	"From 1 February 2025 cosmetic products containing that substance shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance shall not be made available on the Union market"	
"Convallatoxin"	"208-086-3"	"508-75-8"	"105"	"Convallatoxin"	"208-086-3"	"508-75-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Conium maculatum L. (fruit, powder, galenical preparations)"	"285-527-6"	"85116-75-2"	"99"	"Conium maculatum L. (fruit, powder, galenical preparations)"	"285-527-6"	"85116-75-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Coniine"	"207-282-6"	"458-88-8"	"290"	"Coniine"	"207-282-6"	"458-88-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Confidential or not yet assessed substance"	"-"	"-"	"1636"	"Perfluorononan-1-oic acid sodium salt"	""	"21049-39-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Confidential or not yet assessed substance"	"-"	"-"	"1295"	"2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"Confidential or not yet assessed substance"	"-"	"-"	"1693"	"Triticonazole (ISO)"	""	"138182-18-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"Confidential or not yet assessed substance"	"-"	"-"	"1397"	"Sodium perborate"	"239-172-9"	"15120-21-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 61554"	"241-379-4"	"17354-14-2"	"389"	"Colouring agent CI 61554"	"241-379-4"	"17354-14-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 45170:1"	"-"	"-"	"398"	"Colouring agent CI 45170:1"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 45170"	"201-383-9"	"81-88-9"	"398"	"Colouring agent CI 45170"	"201-383-9"	"81-88-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 42640"	"216-901-9"	"1694-09-3"	"386"	"Colouring agent CI 42640"	"216-901-9"	"1694-09-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 42555:2"	"-"	"-"	"380"	"Colouring agent CI 42555:2"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 42555:1"	"207-396-6"	"467-63-0"	"380"	"Colouring agent CI 42555:1"	"207-396-6"	"467-63-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 42555"	"208-953-6"	"548-62-9"	"380"	"Colouring agent CI 42555"	"208-953-6"	"548-62-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 42535"	"616-846-4"	"8004-87-3"	"388"	"Colouring agent CI 42535"	""	"8004-87-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 26105"	"201-635-8"	"85-83-6"	"379"	"Colouring agent CI 26105"	"201-635-8"	"85-83-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 15585:1"	"225-935-3"	"5160-02-1"	"401"	"Colouring agent CI 15585:1"	"225-935-3"	"5160-02-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 15585"	"218-248-5"	"2092-56-0"	"401"	"Colouring agent CI 15585"	"218-248-5"	"2092-56-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 13065"	"209-608-2"	"587-98-4"	"387"	"Colouring agent CI 13065"	"209-608-2"	"587-98-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 12140"	"221-490-4"	"3118-97-6"	"378"	"Colouring agent CI 12140"	"221-490-4"	"3118-97-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 12075 and its lakes, pigments and salts"	"-"	"-"	"397"	"Colouring agent CI 12075 and its lakes, pigments and salts"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Colouring agent CI 12075"	"222-429-4"	"3468-63-1"	"397"	"Colouring agent CI 12075"	"222-429-4"	"3468-63-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colloidal silver (nano)"	"231-131-3"	"7440-22-4"	"1727"	"Colloidal silver (nano)"	"231-131-3"	"7440-22-4"	""	""	"All cosmetic products"	"0 %"	""	"From 1 February 2025 cosmetic products containing that substance shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance shall not be made available on the Union market"	
"Colchicum autumnale L. and its galenical preparations"	"283-623-2"	"84696-03-7"	"104"	"Colchicum autumnale L. and its galenical preparations"	"283-623-2"	"84696-03-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colchicoside"	"207-513-0"	"477-29-2"	"103"	"Colchicoside"	"207-513-0"	"477-29-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Colchicine"	"200-598-5"	"64-86-8"	"102"	"Colchicine"	"200-598-5"	"64-86-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt sulphate"	"233-334-2"	"10124-43-3"	"454"	"Cobalt sulphate"	"233-334-2"	"10124-43-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt nickel oxide"	"620-395-9"	"12737-30-3"	"1449"	"Cobalt nickel oxide"	"620-395-9"	"12737-30-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt nickel gray periclase"	"269-051-6"	"68186-89-0"	"1449"	"Cobalt nickel gray periclase"	"269-051-6"	"68186-89-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt nickel dioxide"	"261-346-8"	"58591-45-0"	"1449"	"Cobalt nickel dioxide"	"261-346-8"	"58591-45-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt lithium nickel oxide"	"442-750-5"	"113066-89-0"	"1464"	"Cobalt lithium nickel oxide"	"442-750-5"	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt dinitrate"	"233-402-1"	"10141-05-6"	"1417"	"Cobalt dinitrate"	"233-402-1"	"10141-05-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt dimolybdenum nickel octaoxide"	"268-169-5"	"68016-03-5"	"1463"	"Cobalt dimolybdenum nickel octaoxide"	"268-169-5"	"68016-03-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt dichloride"	"231-589-4"	"7646-79-9"	"453"	"Cobalt dichloride"	"231-589-4"	"7646-79-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt di(acetate)"	"200-755-8"	"71-48-7"	"1416"	"Cobalt di(acetate)"	"200-755-8"	"71-48-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt carbonate"	"208-169-4"	"513-79-1"	"1418"	"Cobalt carbonate"	"208-169-4"	"513-79-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt benzenesulphonate"	"-"	"23384-69-2"	"101"	"Cobalt benzenesulphonate"	""	"23384-69-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cobalt"	"231-158-0"	"7440-48-4"	"1645"	"Cobalt"	"231-158-0"	"7440-48-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Coal liquids, liq. solvent extn. soln."	"302-682-8"	"94114-47-3"	"627"	"Coal liquids, liq. solvent extn. soln."	"302-682-8"	"94114-47-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contain &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Coal liquids, liq. solvent extn."	"302-683-3"	"94114-48-4"	"628"	"Coal liquids, liq. solvent extn."	"302-683-3"	"94114-48-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contain &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Clorofene"	"204-385-8"	"120-32-1"	"1602"	"Clorofene"	"204-385-8"	"120-32-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Clofenotane"	"200-024-3"	"50-29-3"	"123"	"Clofenotane"	"200-024-3"	"50-29-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Clofenamide"	"211-588-5"	"671-95-4"	"85"	"Clofenamide"	"211-588-5"	"671-95-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Claviceps purpurea Tul., its alkaloids and galenical preparations"	"283-885-8"	"84775-56-4"	"98"	"Claviceps purpurea Tul., its alkaloids and galenical preparations"	"283-885-8"	"84775-56-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Clarified oils (petroleum), hydrodesulfurised catalytic cracked"	"269-782-0"	"68333-26-6"	"940"	"Clarified oils (petroleum), hydrodesulfurised catalytic cracked"	"269-782-0"	"68333-26-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Clarified oils (petroleum), catalytic cracked"	"265-064-6"	"64741-62-4"	"930"	"Clarified oils (petroleum), catalytic cracked"	"265-064-6"	"64741-62-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Citric acid, nickel salt"	"245-119-0"	"22605-92-1"	"1460"	"Citric acid, nickel salt"	"245-119-0"	"22605-92-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Citric acid, ammonium nickel salt"	"242-161-1"	"18283-82-4"	"1460"	"Citric acid, ammonium nickel salt"	"242-161-1"	"18283-82-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Cis-1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"426-020-3"	"51229-78-8"	"1385"	"Cis-1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"426-020-3"	"51229-78-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Cis-1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"426-020-3"	"51229-78-8"	"1386"	"Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"426-020-3"	"51229-78-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cinidon ethyl (ISO)"	"604-318-6"	"142891-20-1"	"1534"	"Cinidon ethyl (ISO)"	"604-318-6"	"142891-20-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cinchophen"	"205-067-1"	"132-60-5"	"8"	"Cinchophen"	"205-067-1"	"132-60-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Cinchocaine"	"201-632-1"	"85-79-0"	"129"	"Cinchocaine"	"201-632-1"	"85-79-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"CI Solvent Yellow 14"	"212-668-2"	"842-07-9"	"1107"	"CI Solvent Yellow 14"	"212-668-2"	"842-07-9"	""	""	"All cosmetic products"	"0 %"	""	""	
